CODE;COMPANY;SECTORS;SUBSECTORS;SEGMENTS
PDGR;PDG REALT;Consumer Cyclical;Heavy Construction;Homebuilding 
PDGS;PDG SECURIT;Financial;Asset-backed Securitization;Asset-backed Securitization
PEAB;PAR AL BAHIA;Financial;Holdings - Diversified;Holdings - Diversified
PEPB;PEPSICO INC;Consumer Non Cyclical;Beverage;Beer and Soft Drinks
PETR;PETROBRAS;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
PFIZ;PFIZER;Health;Pharmaceutical and Others Products;Pharmaceutical and Others Products
PFRM;PROFARMA;Health;Retail and Distribution;Pharmaceutical and Others Products
PGCO;PG;Consumer Non Cyclical;Personal Care and Cleaning Products;Personal Care Products
PIBB;IT NOW PIBB;Financial;Financial Management and Mutual Funds;Mutual Funds
PINE;PINE;Financial;Financial Intermediaries;Banks
PLAS;PLASCAR PART;Consumer Cyclical;Automobiles and Motorcycles;Automobiles and Motorcycles
PLPF;FDC POLO;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
PLRI;FII POLO I;Financial;Financial Management and Mutual Funds;Real Estate Funds
PLSC;POLO CAP SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
PMAM;PARANAPANEMA;Basic Materials;Steel and Metalurgy;Copper Products
PMSP;CEPAC - PMSP;Financial;Others Bonds;Others Bonds
PNVL;DIMED;Health;Retail and Distribution;Pharmaceutical and Others Products
POMO;MARCOPOLO;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
PORD;FII POLO CRI;Financial;Financial Management and Mutual Funds;Real Estate Funds
POSI;POSITIVO TEC;Information Technology;Hardware and Equipments;Hardware and Equipments
PPAR;POLPAR;Financial;Others;Others
PPLA;PPLA;Financial;Diversified Financial Services;Asset Management and Investments
PQDP;FII D PEDRO;Financial;Financial Management and Mutual Funds;Real Estate Funds
PRBC;PARANA;Financial;Financial Intermediaries;Banks
PRCA;PRATICA;Capital Goods and Services;Machines and Equipments;Machines and Industrial Equipments
PRIO;PETRORIO;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
PRML;PRUMO;Capital Goods and Services;Transportation;Warehousing and Storage
PRMN;PROMAN;Utilities;Electric Utilities;Electric Utilities
PRPT;PROMPT PART;Financial;Others;Others
PRSN;FII PERSONAL;Financial;Financial Management and Mutual Funds;Real Estate Funds
PRSV;FII P VARGAS;Financial;Financial Management and Mutual Funds;Real Estate Funds
PSEG;SAUIPE;Consumer Cyclical;Hotels and Restaurants;Hotels
PSSA;PORTO SEGURO;Financial;Insurance, Life and Multi-line;Insurance
PTBL;PORTOBELLO;Capital Goods and Services;Construction and Engineering;Building Products   
PTNT;PETTENATI;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
QCOM;QUALCOMM;Information Technology;Hardware and Equipments;Hardware and Equipments
QGEP;QGEP PART;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
QUAL;QUALICORP;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
QUSW;QUALITY SOFT;Information Technology;Software and Services;Software and Services
QVQP;524 PARTICIP;Financial;Others;Others
RADL;RAIADROGASIL;Health;Retail and Distribution;Pharmaceutical and Others Products
RAIL;RUMO S.A.;Capital Goods and Services;Transportation;Railroads
RANI;CELUL IRANI;Basic Materials;Wood and Paper;Pulp and Paper
RAPT;RANDON PART;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
RBBV;FII JHSF FBV;Financial;Financial Management and Mutual Funds;Real Estate Funds
RBCB;FII RIOBRCIB;Financial;Financial Management and Mutual Funds;Real Estate Funds
RBCS;RBCAPITALSEC;Financial;Asset-backed Securitization;Asset-backed Securitization
RBDS;FII RBRESID2;Financial;Financial Management and Mutual Funds;Real Estate Funds
RBGS;FII RB GSB I;Financial;Financial Management and Mutual Funds;Real Estate Funds
RBRA;RBCAPITALRES;Financial;Asset-backed Securitization;Asset-backed Securitization
RBRD;FII RB II;Financial;Financial Management and Mutual Funds;Real Estate Funds
RBRF;FII RBRALPHA;Financial;Financial Management and Mutual Funds;Real Estate Funds
RBVO;FII RIOBCRI2;Financial;Financial Management and Mutual Funds;Real Estate Funds
RCSL;RECRUSUL;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
RDES;FII RD ESCRI;Financial;Financial Management and Mutual Funds;Real Estate Funds
RDNI;RODOBENSIMOB;Consumer Cyclical;Heavy Construction;Homebuilding 
RDTR;REDENTOR;Utilities;Electric Utilities;Electric Utilities
RDVT;ROD TIETE;Capital Goods and Services;Transportation;Toll Roads and Highways
REDE;REDE ENERGIA;Utilities;Electric Utilities;Electric Utilities
REIT;FII REIT RIV;Financial;Financial Management and Mutual Funds;Real Estate Funds
RENT;LOCALIZA;Consumer Cyclical;Diversified;Car Rental
RESA;RAIZEN ENERG;Consumer Non Cyclical;Food Processors;Sugar and Alcohol
RGEG;RIO GDE ENER;Utilities;Electric Utilities;Electric Utilities
RIGG;TRANSOCEAN;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Equipment and Services
RLOG;COSAN LOG;Capital Goods and Services;Transportation;Railroads
RNDP;FII BB R PAP;Financial;Financial Management and Mutual Funds;Real Estate Funds
RNEW;RENOVA;Utilities;Electric Utilities;Electric Utilities
RNGO;FII RIONEGRO;Financial;Financial Management and Mutual Funds;Real Estate Funds
ROMI;INDS ROMI;Capital Goods and Services;Machines and Equipments;Machines and Industrial Equipments
ROST;ROSS STORES;Consumer Cyclical;Retail;Apparel, Fabric and Footwear
RPAD;ALFA HOLDING;Financial;Financial Intermediaries;Banks
RPMG;PET MANGUINH;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
RPTA;CONC RAPOSO;Capital Goods and Services;Transportation;Toll Roads and Highways
RSID;ROSSI RESID;Consumer Cyclical;Heavy Construction;Homebuilding 
RSUL;RIOSULENSE;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
SAAG;FII SANT AGE;Financial;Financial Management and Mutual Funds;Real Estate Funds
SAIC;FII SIA CORP;Financial;Financial Management and Mutual Funds;Real Estate Funds
SANB;SANTANDER BR;Financial;Financial Intermediaries;Banks
SANC;SANCHEZ ENER;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
SAPR;SANEPAR;Utilities;Water Utilities;Water Utilities
SBSP;SABESP;Utilities;Water Utilities;Water Utilities
SBUB;STARBUCKS;Consumer Cyclical;Hotels and Restaurants;Restaurants and Similars
SCAR;SAO CARLOS;Financial;Real Estate;Real Estate
SCHW;SCHWAB;Financial;Diversified Financial Services;Diversified Financial Services
SCPF;FII SCP;Financial;Financial Management and Mutual Funds;Real Estate Funds
SDIL;FII SDI LOG;Financial;Financial Management and Mutual Funds;Real Estate Funds
SEDU;SOMOS EDUCA;Consumer Cyclical;Diversified;Educational Services
SEER;SER EDUCA;Consumer Cyclical;Diversified;Educational Services
SFND;FII SAO FER;Financial;Financial Management and Mutual Funds;Real Estate Funds
SGPS;SPRINGS;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
SHDP;FII SHOP PDP;Financial;Financial Management and Mutual Funds;Real Estate Funds
SHOW;TIME FOR FUN;Consumer Cyclical;Travel, Entertainment and Leisure;Entertainment
SHPH;FII HIGIENOP;Financial;Financial Management and Mutual Funds;Real Estate Funds
SHUL;SCHULZ;Capital Goods and Services;Machines and Equipments;Motors, Compressors and Others
SING;FIA FATOR SG;Financial;Financial Management and Mutual Funds;Mutual Funds
SLBG;SCHLUMBERGER;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Equipment and Services
SLCE;SLC AGRICOLA;Consumer Non Cyclical;Farming;Agriculture
SLCT;SELECTPART;Financial;Others;Others
SLED;SARAIVA LIVR;Consumer Cyclical;Retail;Diversified Retailers
SMAL;ISHARES SMAL;Financial;Financial Management and Mutual Funds;Mutual Funds
SMLS;SMILES;Consumer Cyclical;Diversified;Loyalty Programs
SMTO;SAO MARTINHO;Consumer Non Cyclical;Food Processors;Sugar and Alcohol
SNSL;SENIOR SOL;Information Technology;Software and Services;Software and Services
SNST;SANESALTO;Utilities;Water Utilities;Water Utilities
SNSY;SANSUY;Basic Materials;Diversified Materials;Other Materials
SOND;SONDOTECNICA;Capital Goods and Services;Construction and Engineering;Consultive Engineering
SPAF;FII SPA;Financial;Financial Management and Mutual Funds;Real Estate Funds
SPRI;SPRINGER;Financial;Holdings - Diversified;Holdings - Diversified
SPRN;SPRINT;Telecommunications;Telecommunications;Telecommunications
SPRT;LONGDIS;Financial;Others;Others
SPTW;FII SP DOWNT;Financial;Financial Management and Mutual Funds;Real Estate Funds
SPXI;IT NOW SPXI;Financial;Financial Management and Mutual Funds;Mutual Funds
SQRM;ITAITINGA;Financial;Others;Others
SSBR;SIERRABRASIL;Financial;Real Estate;Real Estate
SSFO;SALESFORCE;Information Technology;Software and Services;Software and Services
STBP;SANTOS BRP;Capital Goods and Services;Transportation;Warehousing and Storage
STKF;STATKRAFT;Utilities;Electric Utilities;Electric Utilities
STTR;STARA;Capital Goods and Services;Machines and Equipments;Agricultural and Construction Machinery
STTZ;SANTHER;Basic Materials;Wood and Paper;Pulp and Paper
SULA;SUL AMERICA;Financial;Insurance, Life and Multi-line;Insurance
SUZB;SUZANO PAPEL;Basic Materials;Wood and Paper;Pulp and Paper
TAEE;TAESA;Utilities;Electric Utilities;Electric Utilities
TBOF;FII TBOFFICE;Financial;Financial Management and Mutual Funds;Real Estate Funds
TCNO;TECNOSOLO;Capital Goods and Services;Construction and Engineering;Consultive Engineering
TCSA;TECNISA;Consumer Cyclical;Heavy Construction;Homebuilding 
TECN;TECHNOS;Consumer Cyclical;Textiles, Apparel and Footwear;Accessories
TEKA;TEKA;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
TELB;TELEBRAS;Telecommunications;Telecommunications;Telecommunications
TEND;TENDA;Consumer Cyclical;Heavy Construction;Homebuilding 
TESA;TERRA SANTA;Consumer Non Cyclical;Farming;Agriculture
TEXA;TEXAS INC;Information Technology;Hardware and Equipments;Hardware and Equipments
TFOF;FII TOPFOFII;Financial;Financial Management and Mutual Funds;Real Estate Funds
TGAR;FII TG ATIVO;Financial;Financial Management and Mutual Funds;Real Estate Funds
TGMA;TEGMA;Capital Goods and Services;Transportation;Trucking
TGTB;TARGET CORP;Consumer Non Cyclical;Retail and Distribution;Food Retailers
THRA;FII BM THERA;Financial;Financial Management and Mutual Funds;Real Estate Funds
TIET;AES TIETE E;Utilities;Electric Utilities;Electric Utilities
TIFF;TIFFANY;Consumer Cyclical;Retail;Diversified Retailers
TIMP;TIM PART S/A;Telecommunications;Telecommunications;Telecommunications
TKNO;TEKNO;Basic Materials;Steel and Metalurgy;Iron and Steel Products
TLVT;TELINVEST;Financial;Others;Others
TMOS;THERMFISCHER;Health;Medical and Hospitalar Services,Analysis and Diagnostics;Medical and Hospitalar Services,Analysis and Diagnostics
TMPE;TERMOPE;Utilities;Electric Utilities;Electric Utilities
TOTS;TOTVS;Information Technology;Software and Services;Software and Services
TOYB;TECTOY;Consumer Cyclical;Travel, Entertainment and Leisure;Toys and Games
TPIS;TRIUNFO PART;Capital Goods and Services;Transportation;Toll Roads and Highways
TRIA;TRIANGULOSOL;Capital Goods and Services;Transportation;Toll Roads and Highways
TRIS;TRISUL;Consumer Cyclical;Heavy Construction;Homebuilding 
TRNT;FII TORRE NO;Financial;Financial Management and Mutual Funds;Real Estate Funds
TRPL;TRAN PAULIST;Utilities;Electric Utilities;Electric Utilities
TRPN;TARPON INV;Financial;Diversified Financial Services;Asset Management and Investments
TRVC;TRAVELERS;Financial;Insurance, Life and Multi-line;Insurance
TRXL;FII TRX LOG;Financial;Financial Management and Mutual Funds;Real Estate Funds
TSLA;TESLA INC;Consumer Cyclical;Automobiles and Motorcycles;Automobiles and Motorcycles
TSNC;FII TRANSINC;Financial;Financial Management and Mutual Funds;Real Estate Funds
TUPY;TUPY;Capital Goods and Services;Transportation Equipment and Components;Transportation Equipment - Diversified
TWTR;TWITTER;Information Technology;Software and Services;Software and Services
TWXB;TIME WARNER;Consumer Cyclical;Media;Production and Broadcast of Movies and Programs
TXRX;TEX RENAUX;Consumer Cyclical;Textiles, Apparel and Footwear;Fabric, Thread and Fibers
UBSG;UBS GROUP;Financial;Financial Intermediaries;Banks
UCAS;UNICASA;Consumer Cyclical;Household Products;Home Furnishing
UGPA;ULTRAPAR;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
UNAG;FDC UNION AG;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
UNID;UNIDAS;Consumer Cyclical;Diversified;Car Rental
UNIP;UNIPAR;Basic Materials;Chemicals;Chemicals - Others
UPAC;UNIONPACIFIC;Capital Goods and Services;Transportation;Railroads
UPKP;UPTICK;Utilities;Electric Utilities;Electric Utilities
UPSS;UPS;Capital Goods and Services;Transportation;Trucking
USBC;US BANCORP;Financial;Financial Intermediaries;Banks
USIM;USIMINAS;Basic Materials;Steel and Metalurgy;Steel
USSX;US STEEL;Basic Materials;Steel and Metalurgy;Steel
