trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2934,False,"{'a': 0.999, 'e': 0.5001127474738832}",20,0,-63.80210037938974,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
2935,False,"{'a': 0.999, 'e': 0.5001116866160344}",25,7,19.095640567664656,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2936,False,"{'a': 0.999, 'e': 0.5001106310470016}",20,0,-9.518522733499625,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
2937,False,"{'a': 0.999, 'e': 0.500109580740429}",30,7,-106.54400154366763,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 1}",1
2938,False,"{'a': 0.999, 'e': 0.500108535670092}",20,3,13.447653526045526,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2939,False,"{'a': 0.999, 'e': 0.5001074958098964}",25,0,-100.89279016312501,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
2940,False,"{'a': 0.999, 'e': 0.5001064611338784}",20,2,-63.6159755159963,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
2941,False,"{'a': 0.999, 'e': 0.500105431616203}",20,0,-22.627239311773774,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2942,False,"{'a': 0.999, 'e': 0.500104407231164}",25,2,-19.387615978988347,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 0}",1
2943,False,"{'a': 0.999, 'e': 0.5001033879531831}",25,0,14.619550315548778,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
2944,False,"{'a': 0.999, 'e': 0.5001023737568095}",25,13,-42.24345623790751,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
2945,False,"{'a': 0.999, 'e': 0.5001013646167194}",20,4,-9.275981998508328,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
2946,False,"{'a': 0.999, 'e': 0.5001003605077144}",30,7,-96.20288668391606,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
2947,False,"{'a': 0.999, 'e': 0.5000993614047222}",25,0,-29.205367508231223,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
2948,False,"{'a': 0.999, 'e': 0.5000983672827952}",20,6,-10.422875548030458,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
2949,False,"{'a': 0.999, 'e': 0.5000973781171096}",20,10,2.5640114952013193,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
2950,False,"{'a': 0.999, 'e': 0.5000963938829659}",25,0,-74.37169595272286,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2951,False,"{'a': 0.999, 'e': 0.500095414555787}",20,0,-36.687721139476494,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
2952,False,"{'a': 0.999, 'e': 0.5000944401111187}",25,0,-65.46156959067059,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
2953,False,"{'a': 0.999, 'e': 0.5000934705246282}",20,0,-27.77421537857331,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
2954,False,"{'a': 0.999, 'e': 0.500092505772104}",25,13,-19.67743655783449,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
2955,False,"{'a': 0.999, 'e': 0.500091545829455}",20,14,9.790998749318327,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2956,False,"{'a': 0.999, 'e': 0.5000905906727104}",30,2,7.7365688162178845,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
2957,False,"{'a': 0.999, 'e': 0.5000896402780187}",25,0,-65.25827756331455,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
2958,False,"{'a': 0.999, 'e': 0.500088694621647}",20,0,-98.83664631107118,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
2959,False,"{'a': 0.999, 'e': 0.5000877536799806}",20,0,-93.46940944420248,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
2960,False,"{'a': 0.999, 'e': 0.5000868174295225}",25,11,-135.48160602632612,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 3}",1
2961,False,"{'a': 0.999, 'e': 0.5000858858468926}",25,0,-6.724144997919629,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
2962,False,"{'a': 0.999, 'e': 0.5000849589088275}",20,0,-41.675749924682705,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
2963,False,"{'a': 0.999, 'e': 0.5000840365921795}",20,0,-86.51259902629522,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
