TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
01,2017-11-24,02,AELP3,010,AES ELPA,ON,,R$,5.06,5.07,5.05,5.05,5.05,4.05,5.05,00009,000000000000007800,39398.00,0.00,0,9999-12-31,0000001,0.00,BRAELPACNOR2,124
01,2017-11-24,96,AELP3F,020,AES ELPA,ON,,R$,5.50,5.50,5.20,5.35,5.20,4.52,5.49,00005,000000000000000080,428.00,0.00,0,9999-12-31,0000001,0.00,BRAELPACNOR2,124
01,2017-11-24,12,AGCX11,010,FII AG CAIXA,CI,,R$,1259.94,1265.00,1250.00,1254.68,1265.00,1253.00,1265.00,00041,000000000000000265,332492.76,0.00,0,9999-12-31,0000001,0.00,BRAGCXCTF003,160
01,2017-11-24,02,AGRO3,010,BRASILAGRO,ON      NM,,R$,12.14,12.14,11.98,12.05,12.13,12.00,12.13,00099,000000000000025800,310919.00,0.00,0,9999-12-31,0000001,0.00,BRAGROACNOR7,107
01,2017-11-24,96,AGRO3F,020,BRASILAGRO,ON      NM,,R$,12.07,12.07,12.07,12.07,12.07,11.54,12.05,00001,000000000000000014,168.98,0.00,0,9999-12-31,0000001,0.00,BRAGROACNOR7,107
01,2017-11-24,12,ALMI11,010,FII TORRE AL,CI,,R$,1700.00,1720.00,1682.01,1702.65,1720.00,1700.05,1720.00,00040,000000000000000132,224751.07,0.00,0,9999-12-31,0000001,0.00,BRALMICTF003,249
01,2017-11-24,02,ALPA3,010,ALPARGATAS,ON  EJ  N1,,R$,16.27,16.50,15.40,15.84,15.95,15.47,15.96,00018,000000000000003300,52300.00,0.00,0,9999-12-31,0000001,0.00,BRALPAACNOR0,223
01,2017-11-24,96,ALPA3F,020,ALPARGATAS,ON  EJ  N1,,R$,15.77,15.77,15.77,15.77,15.77,15.80,16.49,00001,000000000000000043,678.11,0.00,0,9999-12-31,0000001,0.00,BRALPAACNOR0,223
01,2017-11-24,02,ALPA4,010,ALPARGATAS,PN  EJ  N1,,R$,17.51,17.55,17.05,17.19,17.20,17.10,17.20,00633,000000000001228700,21132728.00,0.00,0,9999-12-31,0000001,0.00,BRALPAACNPR7,223
01,2017-11-24,96,ALPA4F,020,ALPARGATAS,PN  EJ  N1,,R$,17.30,17.30,17.15,17.25,17.29,17.10,17.70,00008,000000000000000212,3657.08,0.00,0,9999-12-31,0000001,0.00,BRALPAACNPR7,223
01,2017-11-24,62,ALPA4T,030,ALPARGATAS,PN  EJ  N1,060,R$,17.39,17.40,17.39,17.39,17.40,0.00,0.00,00004,000000000001000000,17391952.00,0.00,0,9999-12-31,0000001,0.00,BRALPAACNPR7,223
01,2017-11-24,02,ALSC3,010,ALIANSCE,ON      NM,,R$,17.27,17.59,17.22,17.43,17.59,17.36,17.59,01091,000000000000214800,3745739.00,0.00,0,9999-12-31,0000001,0.00,BRALSCACNOR0,110
01,2017-11-24,96,ALSC3F,020,ALIANSCE,ON      NM,,R$,17.35,17.50,17.28,17.39,17.40,16.50,17.50,00018,000000000000000704,12245.73,0.00,0,9999-12-31,0000001,0.00,BRALSCACNOR0,110
01,2017-11-24,02,ALUP11,010,ALUPAR,UNT     N2,,R$,17.50,17.64,17.40,17.53,17.56,17.55,17.56,02441,000000000001003600,17594955.00,0.00,0,9999-12-31,0000001,0.00,BRALUPCDAM15,106
01,2017-11-24,96,ALUP11F,020,ALUPAR,UNT     N2,,R$,17.30,17.60,17.30,17.46,17.50,17.40,17.60,00030,000000000000000948,16554.01,0.00,0,9999-12-31,0000001,0.00,BRALUPCDAM15,106
01,2017-11-24,02,ALUP3,010,ALUPAR,ON      N2,,R$,5.91,6.10,5.91,6.00,6.10,5.72,6.13,00002,000000000000000200,1201.00,0.00,0,9999-12-31,0000001,0.00,BRALUPACNOR8,106
01,2017-11-24,02,ALUP4,010,ALUPAR,PN      N2,,R$,5.71,6.08,5.71,5.89,6.08,5.73,6.06,00002,000000000000000400,2358.00,0.00,0,9999-12-31,0000001,0.00,BRALUPACNPR5,106
01,2017-11-24,02,AMAR3,010,LOJAS MARISA,ON      NM,,R$,7.05,7.73,7.02,7.44,7.73,7.71,7.73,02543,000000000001077600,8017533.00,0.00,0,9999-12-31,0000001,0.00,BRAMARACNOR4,112
01,2017-11-24,96,AMAR3F,020,LOJAS MARISA,ON      NM,,R$,7.08,7.70,7.08,7.42,7.68,7.47,7.70,00047,000000000000001314,9753.44,0.00,0,9999-12-31,0000001,0.00,BRAMARACNOR4,112
01,2017-11-24,62,AMAR3T,030,LOJAS MARISA,ON      NM,017,R$,7.63,7.64,7.63,7.63,7.64,0.00,0.00,00002,000000000000016600,126685.81,0.00,0,9999-12-31,0000001,0.00,BRAMARACNOR4,112
01,2017-11-24,62,AMAR3T,030,LOJAS MARISA,ON      NM,027,R$,7.72,7.73,7.72,7.72,7.73,0.00,0.00,00002,000000000000010000,77293.54,0.00,0,9999-12-31,0000001,0.00,BRAMARACNOR4,112
01,2017-11-24,62,AMAR3T,030,LOJAS MARISA,ON      NM,032,R$,7.73,7.74,7.73,7.73,7.74,0.00,0.00,00002,000000000000013000,100524.49,0.00,0,9999-12-31,0000001,0.00,BRAMARACNOR4,112
01,2017-11-24,96,AMZO34F,020,AMAZON,DRN,,R$,1896.06,1896.06,1896.06,1896.06,1896.06,1842.20,0.00,00001,000000000000000003,5688.18,0.00,0,9999-12-31,0000001,0.00,BRAMZOBDR002,101
01,2017-11-24,02,ANIM3,010,ANIMA,ON      NM,,R$,23.90,24.85,23.90,24.36,24.80,24.44,24.80,00997,000000000000298600,7275787.00,0.00,0,9999-12-31,0000001,0.00,BRANIMACNOR6,104
01,2017-11-24,96,ANIM3F,020,ANIMA,ON      NM,,R$,25.48,25.48,24.40,24.71,24.98,24.36,24.98,00014,000000000000000602,14879.69,0.00,0,9999-12-31,0000001,0.00,BRANIMACNOR6,104
01,2017-11-24,78,ANIMB26,070,ANIM,ON      NM,000,R$,0.18,0.23,0.18,0.19,0.23,0.00,0.00,00003,000000000000050000,9780.00,26.00,0,2018-02-19,0000001,0.00,BRANIMACNOR6,104
01,2017-11-24,78,ANIMC56,070,ANIM,ON      NM,000,R$,0.08,0.08,0.08,0.08,0.08,0.00,0.00,00002,000000000000057700,4616.00,26.50,0,2018-03-19,0000001,0.00,BRANIMACNOR6,104
01,2017-11-24,82,ANIMN71,080,ANIME,ON      NM,000,R$,0.31,0.33,0.31,0.32,0.33,0.00,0.00,00003,000000000000050000,16327.00,21.25,0,2018-02-19,0000001,0.00,BRANIMACNOR6,104
01,2017-11-24,82,ANIMO21,080,ANIME,ON      NM,000,R$,0.48,0.48,0.48,0.48,0.48,0.00,0.00,00002,000000000000057700,27696.00,21.00,0,2018-03-19,0000001,0.00,BRANIMACNOR6,104
01,2017-11-24,02,ARZZ3,010,AREZZO CO,ON      NM,,R$,48.66,49.41,47.69,48.26,48.00,48.00,48.01,01261,000000000000278500,13440634.00,0.00,0,9999-12-31,0000001,0.00,BRARZZACNOR3,126
01,2017-11-24,96,ARZZ3F,020,AREZZO CO,ON      NM,,R$,49.16,49.47,47.86,49.12,47.86,47.60,53.32,00018,000000000000000484,23777.48,0.00,0,9999-12-31,0000001,0.00,BRARZZACNOR3,126
01,2017-11-24,02,ATOM3,010,ATOMPAR,ON,,R$,4.60,5.05,3.96,4.56,3.98,3.98,3.99,02781,000000000002843900,12987908.00,0.00,0,9999-12-31,0000001,0.00,BRATOMACNOR1,102
01,2017-11-24,96,ATOM3F,020,ATOMPAR,ON,,R$,4.47,5.00,4.11,4.65,4.12,4.01,4.59,00051,000000000000001875,8732.84,0.00,0,9999-12-31,0000001,0.00,BRATOMACNOR1,102
01,2017-11-24,02,AZEV4,010,AZEVEDO,PN,,R$,1.07,1.08,1.07,1.07,1.08,1.03,1.07,00002,000000000000001000,1078.00,0.00,0,9999-12-31,0000001,0.00,BRAZEVACNPR7,116
01,2017-11-24,62,AZEV4T,030,AZEVEDO,PN,600,R$,1.22,1.23,1.22,1.22,1.23,0.00,0.00,00002,000000000000001000,1228.92,0.00,0,9999-12-31,0000001,0.00,BRAZEVACNPR7,116
01,2017-11-24,02,AZUL4,010,AZUL,PN      N2,,R$,28.04,28.20,27.76,27.95,28.09,27.81,28.09,01521,000000000000287000,8024038.00,0.00,0,9999-12-31,0000001,0.00,BRAZULACNPR4,100
