PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,SECTORS,SUBSECTORS,SEGMENTS
ELET3,ELETROBRAS,ON,Utilities,Electric Utilities,Electric Utilities
ELET6,ELETROBRAS,PN,Utilities,Electric Utilities,Electric Utilities
ELPL3,ELETROPAULO,ON,Utilities,Electric Utilities,Electric Utilities
ELPL4,ELETROPAULO,PN,Utilities,Electric Utilities,Electric Utilities
EMAE4,EMAE,PN,Utilities,Electric Utilities,Electric Utilities
EMBR3,EMBRAER,ON,Capital Goods and Services,Transportation Equipment and Components,Aerospace and Defense
ENBR3,ENERGIAS BR,ON,Utilities,Electric Utilities,Electric Utilities
ENEV3,ENEVA,ON,Utilities,Electric Utilities,Electric Utilities
ENMA3B,CEMAR,ON,Utilities,Electric Utilities,Electric Utilities
EQTL3,EQUATORIAL,ON,Utilities,Electric Utilities,Electric Utilities
ESTC3,ESTACIO PART,ON,Consumer Cyclical,Diversified,Educational Services
ESTR4,ESTRELA,PN,Consumer Cyclical,"Travel, Entertainment and Leisure",Toys and Games
ETER3,ETERNIT,ON,Capital Goods and Services,Construction and Engineering,Building Products   
EUCA4,EUCATEX,PN,Basic Materials,Wood and Paper,Wood
EVEN3,EVEN,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
EZTC3,EZTEC,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
FESA3,FERBASA,ON,Basic Materials,Steel and Metalurgy,Steel
FESA4,FERBASA,PN,Basic Materials,Steel and Metalurgy,Steel
FHER3,FER HERINGER,ON,Basic Materials,Chemicals,Fertilizers
FIBR3,FIBRIA,ON,Basic Materials,Wood and Paper,Pulp and Paper
FJTA3,FORJA TAURUS,ON,Capital Goods and Services,Machines and Equipments,Weapons and Munitions
FJTA4,FORJA TAURUS,PN,Capital Goods and Services,Machines and Equipments,Weapons and Munitions
FLRY3,FLEURY,ON,Health,"Medical and Hospitalar Services,Analysis and Diagnostics","Medical and Hospitalar Services,Analysis and Diagnostics"
FRAS3,FRAS-LE,ON,Capital Goods and Services,Transportation Equipment and Components,Transportation Equipment - Diversified
GEPA3,GER PARANAP,ON,Utilities,Electric Utilities,Electric Utilities
GEPA4,GER PARANAP,PN,Utilities,Electric Utilities,Electric Utilities
GFSA3,GAFISA,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
GGBR3,GERDAU,ON,Basic Materials,Steel and Metalurgy,Steel
GGBR4,GERDAU,PN,Basic Materials,Steel and Metalurgy,Steel
GOAU3,GERDAU MET,ON,Basic Materials,Steel and Metalurgy,Steel
GOAU4,GERDAU MET,PN,Basic Materials,Steel and Metalurgy,Steel
GOLL4,GOL,PN,Capital Goods and Services,Transportation,Airlines
GRND3,GRENDENE,ON,Consumer Cyclical,"Textiles, Apparel and Footwear",Footwear
GSHP3,GENERALSHOPP,ON,Financial,Real Estate,Real Estate
GUAR3,GUARARAPES,ON,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
GUAR4,GUARARAPES,PN,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
HAGA4,HAGA S/A,PN,Capital Goods and Services,Construction and Engineering,Building Products   
HBOR3,HELBOR,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
HETA4,HERCULES,PN,Consumer Cyclical,Household Products,Houseware Utensils
HGTX3,CIA HERING,ON,Consumer Cyclical,"Textiles, Apparel and Footwear",Apparel and Clothing
HOOT4,HOTEIS OTHON,PN,Consumer Cyclical,Hotels and Restaurants,Hotels
HYPE3,HYPERMARCAS,ON,Consumer Non Cyclical,Diversified,Diversified Products
IDNT3,IDEIASNET,ON,Information Technology,Software and Services,Software and Services
IDVL4,INDUSVAL,PN,Financial,Financial Intermediaries,Banks
IGBR3,IGB S/A,ON,Consumer Cyclical,Household Products,Household Appliance
IGTA3,IGUATEMI,ON,Financial,Real Estate,Real Estate
IRBR3,IRBBRASIL RE,ON,Financial,"Insurance, Life and Multi-line",Insurance
ITSA3,ITAUSA,ON,Financial,Financial Intermediaries,Banks
ITSA4,ITAUSA,PN,Financial,Financial Intermediaries,Banks
ITUB3,ITAUUNIBANCO,ON,Financial,Financial Intermediaries,Banks
ITUB4,ITAUUNIBANCO,PN,Financial,Financial Intermediaries,Banks
JBDU4,J B DUARTE,PN,Financial,Holdings - Diversified,Holdings - Diversified
JFEN3,JOAO FORTES,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
JHSF3,JHSF PART,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
JSLG3,JSL,ON,Capital Goods and Services,Transportation,Trucking
KEPL3,KEPLER WEBER,ON,Capital Goods and Services,Machines and Equipments,Machines and Industrial Equipments
KLBN3,KLABIN S/A,ON,Basic Materials,Wood and Paper,Pulp and Paper
