TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
1,2017-11-24,2,BPHA3,10,BR PHARMA,ON,,R$,4.55,4.64,4.55,4.58,4.55,4.55,4.62,18,6400,29323.0,0.0,0,9999-12-31,1,0.0,BRBPHAACNOR6,105
1,2017-11-24,2,BRAP3,10,BRADESPAR,ON,,R$,21.71,22.2,21.71,22.03,21.95,21.8,22.1,64,18200,400994.0,0.0,0,9999-12-31,1,0.0,BRBRAPACNOR5,131
1,2017-11-24,2,BRAP4,10,BRADESPAR,PN,,R$,25.72,25.96,25.53,25.73,25.91,25.72,25.91,3721,1586500,40830931.0,0.0,0,9999-12-31,1,0.0,BRBRAPACNPR2,131
1,2017-11-24,2,BRFS3,10,BRF SA,ON,,R$,41.26,41.4,40.35,40.68,40.37,40.36,40.4,7229,1415800,57602115.0,0.0,0,9999-12-31,1,0.0,BRBRFSACNOR8,117
1,2017-11-24,2,BRGE12,10,ALFA CONSORC,PN,,R$,2.8,2.8,2.55,2.71,2.61,2.61,4.0,50,6100,16552.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPF8,94
1,2017-11-24,2,BRIN3,10,BR INSURANCE,ON,,R$,13.75,13.8,11.47,12.7,11.84,11.84,11.99,381,131200,1667252.0,0.0,0,9999-12-31,1,0.0,BRBRINACNOR3,111
1,2017-11-24,2,BRIV3,10,ALFA INVEST,ON,,R$,5.8,5.8,5.8,5.8,5.8,5.6,5.8,1,100,580.0,0.0,0,9999-12-31,1,0.0,BRBRIVACNOR6,205
1,2017-11-24,2,BRIV4,10,ALFA INVEST,PN,,R$,6.53,6.53,6.37,6.41,6.37,6.36,6.65,23,125300,803923.0,0.0,0,9999-12-31,1,0.0,BRBRIVACNPR3,205
1,2017-11-24,2,BRKM3,10,BRASKEM,ON,,R$,47.89,48.0,47.89,47.89,48.0,47.9,48.0,2,40100,1920400.0,0.0,0,9999-12-31,1,0.0,BRBRKMACNOR1,114
1,2017-11-24,2,BRKM5,10,BRASKEM,PN,,R$,47.27,48.8,46.83,48.17,48.2,48.2,48.5,6438,1241900,59832548.0,0.0,0,9999-12-31,1,0.0,BRBRKMACNPA4,114
1,2017-11-24,2,BRML3,10,BR MALLS PAR,ON,,R$,12.51,12.83,12.4,12.8,12.61,12.61,12.62,11029,23436700,299994795.0,0.0,0,9999-12-31,1,0.0,BRBRMLACNOR9,110
1,2017-11-24,2,BRPR3,10,BR PROPERT,ON,,R$,10.99,11.13,10.82,10.94,11.0,11.0,11.03,1238,336200,3679687.0,0.0,0,9999-12-31,1,0.0,BRBRPRACNOR9,117
1,2017-11-24,2,BRSR3,10,BANRISUL,ON,,R$,26.9,26.99,26.88,26.9,26.99,24.55,26.99,8,10900,293226.0,0.0,0,9999-12-31,1,0.0,BRBRSRACNOR3,151
1,2017-11-24,2,BRSR5,10,BANRISUL,PN,,R$,26.93,26.93,24.51,26.89,25.51,25.5,26.93,4,10300,276995.0,0.0,0,9999-12-31,1,0.0,BRBRSRACNPA6,155
1,2017-11-24,2,BRSR6,10,BANRISUL,PN,,R$,14.61,14.89,14.46,14.59,14.89,14.8,14.89,1484,759600,11083683.0,0.0,0,9999-12-31,1,0.0,BRBRSRACNPB4,154
1,2017-11-24,2,BSEV3,10,BIOSEV,ON,,R$,4.85,4.86,4.84,4.84,4.84,4.84,4.85,13,5900,28609.0,0.0,0,9999-12-31,1,0.0,BRBSEVACNOR3,101
1,2017-11-24,2,BTOW3,10,B2W DIGITAL,ON,,R$,17.78,18.21,17.32,17.7,17.42,17.42,17.44,6269,2038300,36080622.0,0.0,0,9999-12-31,1,0.0,BRBTOWACNOR8,109
1,2017-11-24,2,BTTL3,10,BATTISTELLA,ON,,R$,4.79,4.79,4.79,4.79,4.79,4.4,4.73,1,5000,23950.0,0.0,0,9999-12-31,1,0.0,BRBTTLACNOR0,108
1,2017-11-24,2,BTTL4,10,BATTISTELLA,PN,,R$,4.69,4.69,4.69,4.69,4.69,4.51,4.7,1,5000,23450.0,0.0,0,9999-12-31,1,0.0,BRBTTLACNPR7,108
1,2017-11-24,2,BVMF3,10,BMFBOVESPA,ON,,R$,24.43,24.43,24.11,24.23,24.3,24.28,24.3,10275,3368700,81639373.0,0.0,0,9999-12-31,1,0.0,BRBVMFACNOR3,143
1,2017-11-24,2,CAML3,10,CAMIL,ON,,R$,8.76,8.76,8.51,8.62,8.52,8.51,8.56,1640,737200,6359752.0,0.0,0,9999-12-31,1,0.0,BRCAMLACNOR3,100
1,2017-11-24,2,CARD3,10,CSU CARDSYST,ON,,R$,10.41,10.41,10.02,10.19,10.3,10.22,10.37,226,63600,648683.0,0.0,0,9999-12-31,1,0.0,BRCARDACNOR9,110
1,2017-11-24,2,CCRO3,10,CCR SA,ON,,R$,16.8,16.93,16.55,16.74,16.65,16.62,16.65,6363,2827500,47358671.0,0.0,0,9999-12-31,1,0.0,BRCCROACNOR2,132
1,2017-11-24,2,CCXC3,10,CCX CARVAO,ON,,R$,0.89,0.9,0.83,0.87,0.89,0.87,0.89,49,136600,119402.0,0.0,0,9999-12-31,1,0.0,BRCCXCACNOR5,102
1,2017-11-24,2,CEBR5,10,CEB,PN,,R$,31.0,31.0,31.0,31.0,31.0,22.0,31.0,2,200,6200.0,0.0,0,9999-12-31,1,0.0,BRCEBRACNPA8,114
1,2017-11-24,2,CEDO3,10,CEDRO,ON,,R$,6.91,6.91,6.91,6.91,6.91,6.95,15.0,1,1000,6910.0,0.0,0,9999-12-31,1,0.0,BRCEDOACNOR8,96
1,2017-11-24,2,CEDO4,10,CEDRO,PN,,R$,5.34,5.45,5.2,5.33,5.35,5.1,5.45,4,1800,9610.0,0.0,0,9999-12-31,1,0.0,BRCEDOACNPR5,128
1,2017-11-24,2,CEED3,10,CEEE-D,ON,,R$,27.82,28.0,27.8,27.84,27.8,27.8,28.5,7,1400,38988.0,0.0,0,9999-12-31,1,0.0,BRCEEDACNOR9,102
1,2017-11-24,2,CELP3,10,CELPA,ON,,R$,1.83,1.89,1.82,1.82,1.89,1.86,1.89,3,4200,7659.0,0.0,0,9999-12-31,1,0.0,BRCELPACNOR8,115
1,2017-11-24,2,CELP5,10,CELPA,PN,,R$,1.88,1.9,1.88,1.88,1.9,1.9,2.16,2,40200,75580.0,0.0,0,9999-12-31,1,0.0,BRCELPACNPA1,117
1,2017-11-24,2,CELP7,10,CELPA,PN,,R$,1.8,1.8,1.8,1.8,1.8,1.0,2.25,1,40000,72000.0,0.0,0,9999-12-31,1,0.0,BRCELPACNPC7,117
1,2017-11-24,2,CESP3,10,CESP,ON,,R$,11.2,11.37,11.2,11.21,11.24,11.14,11.21,16,10000,112144.0,0.0,0,9999-12-31,1,0.0,BRCESPACNOR3,166
1,2017-11-24,2,CESP5,10,CESP,PN,,R$,18.0,19.0,18.0,18.06,19.0,18.0,19.3,3,1600,28900.0,0.0,0,9999-12-31,1,0.0,BRCESPACNPA6,113
1,2017-11-24,2,CESP6,10,CESP,PN,,R$,13.0,13.22,12.9,13.01,13.14,13.03,13.14,2700,913400,11887266.0,0.0,0,9999-12-31,1,0.0,BRCESPACNPB4,125
1,2017-11-24,2,CGAS3,10,COMGAS,ON,,R$,51.72,51.73,50.63,51.58,51.49,49.51,51.49,10,7400,381703.0,0.0,0,9999-12-31,1,0.0,BRCGASACNOR0,143
1,2017-11-24,2,CGAS5,10,COMGAS,PN,,R$,52.93,54.1,51.75,53.11,54.1,54.1,54.18,595,120400,6395428.0,0.0,0,9999-12-31,1,0.0,BRCGASACNPA3,140
1,2017-11-24,2,CGRA4,10,GRAZZIOTIN,PN,,R$,26.4,26.89,26.4,26.54,26.47,26.47,26.65,20,8300,220355.0,0.0,0,9999-12-31,1,0.0,BRCGRAACNPR9,67
1,2017-11-24,2,CIEL3,10,CIELO,ON,,R$,23.44,23.44,23.05,23.15,23.06,23.06,23.12,8801,2089900,48399802.0,0.0,0,9999-12-31,1,0.0,BRCIELACNOR3,126
1,2017-11-24,2,CLSC4,10,CELESC,PN,,R$,19.58,19.99,19.56,19.68,19.99,19.57,19.99,23,17500,344523.0,0.0,0,9999-12-31,1,0.0,BRCLSCACNPR3,111
1,2017-11-24,2,CMIG3,10,CEMIG,ON,,R$,6.9,6.91,6.73,6.8,6.78,6.73,6.79,479,456500,3105290.0,0.0,0,9999-12-31,1,0.0,BRCMIGACNOR6,219
1,2017-11-24,2,CMIG4,10,CEMIG,PN,,R$,7.15,7.19,6.9,7.01,6.9,6.9,6.93,9037,9054700,63526673.0,0.0,0,9999-12-31,1,0.0,BRCMIGACNPR3,220
